Gender,Incurred_Age_Bucket,Incurred_Year_Bucket,Claim_Type,Region,Diagnosis_Category,Claim_Duration,Exposure,Deaths,Recovery,Terminations,Benefit_Expiry,Others_Terminations
Male,Unknown,2007-2008,NH,Unknown,Unknown, 67,52,2,0,2,0,0
Female,Unknown,2011-2012,ALF,Unknown,Unknown, 59,50,1,0,1,0,0
Female,Unknown,2013-2014,HCC,Unknown,Unknown, 42,61,0,0,0,0,0
Female,Unknown, < 2001,ALF,Unknown,Unknown, 21,34,0,0,0,0,0
Female,Unknown,2005-2006,NH,Unknown,Unknown, 79,50,1,0,1,0,0
Female,Unknown, < 2001,NH,Unknown,Unknown,115,37,0,0,0,0,0
Female,Unknown, < 2001,HCC,Unknown,Unknown,  7,75,0,2,2,0,0
Male,Unknown, < 2001,ALF,Unknown,Unknown,116,12,0,0,0,0,0
Male,Unknown, < 2001,Other,Unknown,Unknown,  2,42,3,2,6,0,1
Male,Unknown,2009-2010,Other,Unknown,Unknown, 95,5,0,0,0,0,0
Female,Unknown,2007-2008,NH,Unknown,Unknown,108,34,1,0,1,0,0
Male,Unknown,2009-2010,ALF,Unknown,Unknown, 65,41,0,0,0,0,0
Male,Unknown,Unknown,HCC,Unknown,Unknown,129,162,2,0,2,0,0
Male,Unknown,Unknown,Other,Unknown,Unknown,120,56,1,0,1,1,0
Female,Unknown, < 2001,NH,Unknown,Unknown, 13,50,1,1,2,0,0
Male,Unknown,2011-2012,HCC,Unknown,Unknown, 67,42,1,1,4,0,2
Male,Unknown,2009-2010,ALF,Unknown,Unknown, 88,21,1,0,1,0,0
Female,Unknown,2003-2004,HCC,Unknown,Unknown, 18,77,0,0,0,0,0
Female,Unknown,2007-2008,NH,Unknown,Unknown, 13,45,0,0,0,0,0
Male,Unknown,2001-2002,NH,Unknown,Unknown, 52,43,0,1,1,0,0
Female,Unknown,2007-2008,ALF,Unknown,Unknown, 50,44,0,0,0,0,0
Female,Unknown,2005-2006,Other,Unknown,Unknown,110,12,1,0,1,0,0
Female,Unknown,2013-2014,ALF,Unknown,Unknown, 26,51,0,0,0,1,0
Male,Unknown,2001-2002,ALF,Unknown,Unknown, 97,14,1,0,1,1,0
Female,Unknown,2005-2006,NH,Unknown,Unknown,106,43,1,0,1,0,0
Female,Unknown,2005-2006,NH,Unknown,Unknown, 43,58,1,0,1,0,0
Female,Unknown,2001-2002,NH,Unknown,Unknown,  7,68,1,0,1,0,0
Male,Unknown,2007-2008,ALF,Unknown,Unknown,  2,74,2,0,2,0,0
Male,Unknown,2003-2004,Other,Unknown,Unknown,  8,55,3,1,4,0,0
Female,Unknown,2007-2008,Other,Unknown,Unknown, 45,31,2,0,2,0,0
Female,Unknown,2001-2002,NH,Unknown,Unknown,109,32,0,0,0,0,0
Female,Unknown,2009-2010,NH,Unknown,Unknown, 53,51,1,0,1,0,0
Male,Unknown,2009-2010,Other,Unknown,Unknown, 86,13,0,0,0,0,0
Female,Unknown,2013-2014,ALF,Unknown,Unknown, 48,18,0,0,0,0,0
Male,Unknown,2007-2008,HCC,Unknown,Unknown,105,53,1,1,2,0,0
Male,Unknown,2005-2006,ALF,Unknown,Unknown, 16,62,0,0,0,0,0
Female,Unknown, < 2001,NH,Unknown,Unknown, 26,48,1,0,1,0,0
Female,Unknown,2005-2006,HCC,Unknown,Unknown,115,67,1,0,1,0,0
Female,Unknown,2005-2006,Other,Unknown,Unknown, 67,24,0,0,0,0,0
Female,Unknown,2013-2014,ALF,Unknown,Unknown, 13,49,1,1,2,0,0
Male,Unknown,Unknown,NH,Unknown,Unknown,171,22,1,0,1,0,0
Male,Unknown,Unknown,HCC,Unknown,Unknown,183,29,1,0,1,0,0
Male,Unknown,2005-2006,NH,Unknown,Unknown, 98,51,2,0,2,0,0
Male,Unknown, < 2001,Other,Unknown,Unknown, 41,38,0,0,0,0,0
Male,Unknown,2003-2004,HCC,Unknown,Unknown, 95,54,0,0,0,1,0
Female,Unknown,2013-2014,Other,Unknown,Unknown, 40,23,1,0,1,1,0
Male,Unknown,2011-2012,Other,Unknown,Unknown,  8,51,2,1,3,0,0
Female,Unknown,2009-2010,ALF,Unknown,Unknown, 37,53,0,2,2,0,0
Female,Unknown,2001-2002,NH,Unknown,Unknown, 18,56,0,1,1,0,0
Female,Unknown,2007-2008,ALF,Unknown,Unknown,  9,58,0,2,2,0,0
Female,Unknown,2009-2010,Other,Unknown,Unknown, 46,32,1,0,1,0,0
Female,Unknown,2005-2006,HCC,Unknown,Unknown, 59,76,0,0,0,0,0
Female,Unknown, < 2001,Other,Unknown,Unknown, 14,47,0,0,0,0,0
Male,Unknown, < 2001,ALF,Unknown,Unknown, 69,31,1,0,2,1,1
Male,Unknown,2001-2002,NH,Unknown,Unknown,109,31,0,0,0,0,0
Male,Unknown, < 2001,HCC,Unknown,Unknown, 50,45,0,0,0,0,0
Female,Unknown,2003-2004,ALF,Unknown,Unknown, 19,61,3,0,3,0,0
Female,Unknown,2003-2004,ALF,Unknown,Unknown,  6,52,1,0,1,0,0
Male,Unknown,2011-2012,NH,Unknown,Unknown, 15,49,1,0,1,0,0
Female,Unknown,2005-2006,HCC,Unknown,Unknown, 91,69,2,0,2,0,0
Female,Unknown,2003-2004,HCC,Unknown,Unknown, 38,86,2,0,2,0,0
Male,Unknown,2007-2008,NH,Unknown,Unknown,110,25,0,0,0,0,0
Male,Unknown,2005-2006,HCC,Unknown,Unknown, 26,66,1,0,1,0,0
Male,Unknown,Unknown,Other,Unknown,Unknown,243,11,0,0,0,0,0
Female,Unknown,2013-2014,Other,Unknown,Unknown, 33,45,2,0,2,0,0
Male,Unknown,2005-2006,ALF,Unknown,Unknown, 41,51,1,1,2,1,0
Male,Unknown,2011-2012,Other,Unknown,Unknown, 53,30,0,1,2,0,1
Male,Unknown,2003-2004,Other,Unknown,Unknown, 81,17,0,0,0,0,0
Male,Unknown,2007-2008,Other,Unknown,Unknown, 92,15,0,0,0,0,0
Female,Unknown,2007-2008,ALF,Unknown,Unknown, 84,37,0,0,0,0,0
Male,Unknown, < 2001,ALF,Unknown,Unknown, 27,35,0,0,0,0,0
Male,Unknown,2003-2004,Other,Unknown,Unknown, 47,27,0,0,0,0,0
Male,Unknown,2009-2010,HCC,Unknown,Unknown, 46,71,1,0,1,1,0
Male,Unknown,2007-2008,ALF,Unknown,Unknown, 14,52,0,0,0,0,0
Female,Unknown,Unknown,ALF,Unknown,Unknown,124,115,2,0,2,0,0
Female,Unknown, < 2001,NH,Unknown,Unknown, 82,37,0,1,1,0,0
Male,Unknown,2009-2010,NH,Unknown,Unknown, 94,15,0,1,1,0,0
Male,Unknown,2005-2006,Other,Unknown,Unknown, 36,19,0,0,0,0,0
Female,Unknown,2005-2006,ALF,Unknown,Unknown,  4,55,0,1,1,0,0
Male,Unknown,2003-2004,Other,Unknown,Unknown, 29,23,0,0,0,0,0
Male,Unknown,2011-2012,HCC,Unknown,Unknown, 10,58,2,0,3,0,1
Female,Unknown,2003-2004,NH,Unknown,Unknown,113,49,3,0,3,0,0
Female,Unknown,2005-2006,HCC,Unknown,Unknown,  4,53,1,0,1,0,0
Male,Unknown,2005-2006,ALF,Unknown,Unknown, 81,32,1,0,1,0,0
Male,Unknown,2007-2008,NH,Unknown,Unknown, 76,49,1,0,1,1,0
